Day,Plt,,,,Night,Plt,,,
1-Mar,A,E3,,E63,1-Mar,B,,L2,E51
2-Mar,C,E44,,E61,2-Mar,A,,L2,E50
3-Mar,C,E34,,E57,3-Mar,A,,L9,E55
4-Mar,D,E24,,,4-Mar,C,,L2,E59
5-Mar,D,E27,,E64,5-Mar,C,,L9,E19
6-Mar,B,E3,,E63,6-Mar,D,,L2,E35
7-Mar,B,E44,,E61,7-Mar,D,,L9,E71
8-Mar,A,E34,,E57,8-Mar,B,E53,L2,
9-Mar,A,E24,,,9-Mar,B,E45,L9,
10-Mar,C,E27,,E64,10-Mar,A,E68,L9,
11-Mar,C,E3,,E63,11-Mar,A,E05,L2,
12-Mar,D,E44,,E61,12-Mar,C,E41,L9,
13-Mar,D,E34,,E57,13-Mar,C,,L2,E51
14-Mar,B,E24,,,14-Mar,D,,L9,E50
15-Mar,B,E27,,E64,15-Mar,D,,L2,E55
16-Mar,A,E3,,E63,16-Mar,B,,L9,E59
17-Mar,A,E44,,E61,17-Mar,B,,L2,E19
18-Mar,C,E34,,E57,18-Mar,A,,L2,E35
19-Mar,C,E24,,,19-Mar,A,,L9,E71
20-Mar,D,E27,,E64,20-Mar,C,E53,L2,
21-Mar,D,E3,,E63,21-Mar,C,E45,L9,
22-Mar,B,E44,,E61,22-Mar,D,E68,L2,
23-Mar,B,E34,,E57,23-Mar,D,E05,L9,
24-Mar,A,E24,,,24-Mar,B,E41,L2,
25-Mar,A,E27,,E64,25-Mar,B,,L9,E51
26-Mar,C,E3,,E63,26-Mar,A,,L9,E50
27-Mar,C,E44,,E61,27-Mar,A,,L2,E55
28-Mar,D,E34,,E57,28-Mar,C,,L9,E59
29-Mar,D,E24,,,29-Mar,C,,L2,E19
30-Mar,B,E27,,E64,30-Mar,D,,L9,E35
31-Mar,B,E3,,E63,31-Mar,D,,L2,E71
